,LSOA11CD,name,total,geometry,id,lon,lat
159,E01000164,Barnet 022D,1802,POINT (-0.1531859398125105 51.60574892152269),159,-0.15318593981251047,51.60574892152269
160,E01000165,Barnet 022E,1863,POINT (-0.1502377073767138 51.6098531319283),160,-0.15023770737671382,51.6098531319283
161,E01000166,Barnet 003A,1619,POINT (-0.1591931256826975 51.65407708138979),161,-0.1591931256826975,51.65407708138979
162,E01000167,Barnet 002A,1304,POINT (-0.1694430520490156 51.6558849705584),162,-0.16944305204901555,51.6558849705584
163,E01000168,Barnet 003B,1569,POINT (-0.1559897978881391 51.64902076821246),163,-0.15598979788813908,51.64902076821246
164,E01000169,Barnet 003C,1640,POINT (-0.1641165517229906 51.650063402108294),164,-0.16411655172299064,51.650063402108294
165,E01000170,Barnet 006A,1873,POINT (-0.1638598681538473 51.645815176978225),165,-0.1638598681538473,51.645815176978225
166,E01000171,Barnet 006B,2421,POINT (-0.1705958078784599 51.64892407072518),166,-0.1705958078784599,51.64892407072518
167,E01000172,Barnet 003D,1813,POINT (-0.1500950387120992 51.641994702405775),167,-0.1500950387120992,51.641994702405775
168,E01000173,Barnet 006C,1770,POINT (-0.1562774239337496 51.641186579962266),168,-0.1562774239337496,51.641186579962266
169,E01000174,Barnet 006D,1972,POINT (-0.1649623811326422 51.641680136069574),169,-0.16496238113264222,51.641680136069574
170,E01000175,Barnet 006E,1499,POINT (-0.1598282687712626 51.637469411315564),170,-0.15982826877126255,51.637469411315564
171,E01000176,Barnet 027A,1681,POINT (-0.1792286688961748 51.59580036657672),171,-0.1792286688961748,51.59580036657672
172,E01000177,Barnet 029A,1807,POINT (-0.1718248313813727 51.59276724443981),172,-0.17182483138137267,51.59276724443981
173,E01000178,Barnet 027B,1806,POINT (-0.1648558721857828 51.595593267661044),173,-0.16485587218578282,51.595593267661044
174,E01000179,Barnet 029B,1826,POINT (-0.176460046123109 51.594568441187306),174,-0.176460046123109,51.594568441187306
175,E01000180,Barnet 029C,1756,POINT (-0.170869518647921 51.589663217692134),175,-0.17086951864792096,51.589663217692134
176,E01000181,Barnet 029D,1831,POINT (-0.1636899144048234 51.590964353728914),176,-0.16368991440482336,51.590964353728914
177,E01000182,Barnet 029E,1946,POINT (-0.1619529832231808 51.58770027143879),177,-0.1619529832231808,51.58770027143879
